Anzahl,Beschreibung
,
10,Holzteile
1,\SI{120}{\mm} PC Lüfter
4,PC Lüfter Schrauben
1,Lüfter Gitter
1,Aktivkohlefilter
1,USB-C Power Delivery 12V Platine
1,LED Streifen
1,Schalter
2,Holzschrauben
1,Kabel flexibel \SI{15}{\cm}
