Quantity,Description
,
10,Laser cutted parts
1,\SI{120}{\mm} PC fan
4,PC fan screws
1,Fan grill
1,Solder-fume filter
1,USBC Power Delivery 12V board
1,LED strip
1,Switch
2,Wood screws
1,Cable \SI{15}{\cm} (optional)
