Menge,Name,Beschreibung,Beschriftung/Farbcode
2,Q1{,} Q2,Transistor BC547,BC547
1,D1,LED \SI{5}{\mm} grün,
1,D2,LED \SI{5}{\mm} rot,
2,R1{,} R2,Widerstand \SI{430}{\ohm},Gelb|Orange|Schwarz|Schwarz|Braun,R1|R2
2,R3{,} R4,Widerstand \SI{4,7}{\kilo\ohm},Gelb|Violett|Schwarz|Braun|Braun,R3|R4
2,R5{,} R6,Widerstand \SI{47}{\kilo\ohm},Gelb|Violett|Schwarz|Rot|Braun,R5|R6
1,SW1,Schalter,
1,SW2,Taster,
1,Kabel starr (ca. \SI{50}{\cm}),
1,Kabel flexibel (ca. \SI{30}{\cm}),
1,Platine (PCB),,
1,Batteriehalter für AA (Mignon) Batterien oder Akkus,,
2,Batterien AA (Mignon) (nicht enthalten),,
