Anzahl,Beschreibung
,
1,ESP32-C3 Super Mini
1,3D gedruckter Halter
1,ISM-Sendemodul Qiachip WL102-341
1,\SI{5} V \SI{600} mA Step-Up-Modul
1,\SI{2} AA-Batterienhalter
1,Draussenfuchs Platine
1,433Mhz Antenne
1,Doppelseitiges Klebeband (Nicht enthalten)
