Quantity,Description
,
1,ESP32-C3 Super Mini
1,3D Printed Bracket
1,ISM-Transmitter Qiachip WL102-341
1,\SI{5} V \SI{600} mA Step-Up-Module
1,\SI{2} AA-Battery Holder
1,Draussenfuchs PCB
1,433MHz Antenna
1,Double sided Tape (Not included)
