Anzahl,Beschreibung
,

1,Schalter
1,CR2032 Batterie Halter
1,CR2032 Batterie (nicht enthalten)
2,0805 SMD LEDs (verschiedene Farben beinhaltet)
1,0805 SMD Widerstand \SI{47}{\ohm}
1,Platine (PCB)
