Anzahl,Beschreibung
,
3,RGB LEDs \SI{5}{\mm}
1,LED Abstandhalter
1,Ei (aus zwei Teilen)
1,Eierbecher (3D-Druck{,} optional)
1,Feuerstrahl (3D-Druck{,} optional)
1,Reed Kontakt (Magnetschalter)
1,CR2032 Batterie Halter
1,CR2032 Batterie (nicht enthalten)
1,8x2 mm Neodymmagnet
1,Space Eggs Platine (PCB)
