Quantity,Description
,
3,RGB LEDs \SI{5}{\mm}
1,LED spacer
1,Egg (made of two parts)
1,Egg cup (3D print{,} optional)
1,Fire jet (3D print{,} optional)
1,Reed contact (magnetic switch)
1,CR2032 battery holder
1,CR2032 battery (not included)
1,8x2 mm neodymium magnet
1,Space Eggs circuit board (PCB)
