Quantity,Name,Description,Labelling/Colour code
2,U2{,}U3,CD4017 Counter,4017
1,U1,NE555 Timer,NE555
2,D1{,}D2, Diode, IN5817
1,RV1,200k Potentiometer,
1,C1,\SI{10}{\nano\farad} Ceramic Capacitor,103
2,C2{,}C3,\SI{100}{\nano\farad} Ceramic Capacitor,104
1,C4,\SI{1}{\mu\farad} Ceramic Capacitor,105
1,BT1,CR2032 Battery Holder
24,D5--D28,LED red \SI{3}{\mm},
1,R1,Resistor \SI{1}{\kilo\ohm},Braun | Schwarz | Schwarz | Braun | Braun,R1
1,R2,Resistor \SI{100}{\kilo\ohm},Braun | Schwarz | Schwarz | Orange | Braun,R2
1,R3,Resistor \SI{47}{\ohm},Schwarz | Gelb | Violett | Schwarz | Braun,R3
1,SW1,Push Button,
1,SW2,Switch,
1,,Batterie CR2032 (optional),
1,,PCB,
