Quantity,Description
,
2,Outer Case (black)
2,Inner Case (orange)
1,Brass wool
2,Clips
1,Bearing
1,Soldering iron holder
2,Coil parts
1,M3x16 screw
6,M3x20 screw
1,M3 nut
1,Superglue (not included)
1,Pinecil Soldering Iron (not included)
1,Pinecil USB-C cable (not included)
2,Soldering tips (not included)
1,Solder (not included)
