Anzahl,Beschreibung
,
2,Außenteil Case (schwarz)
2,Inntenteil Case (orange)
1,Messingwolle
2,Clips
1,Lager
1,Lötkolbenhalter
2,Spulenteile
1,M3x16 Schraube
6,M3x20 Schraube
1,M3 Mutter
1,Sekundenkleber (nicht enthalten)
1,Pinecil Lötkolben (nicht enthalten)
1,Pinecil USB-C Kabel (nicht enthalten)
2,Lötspitzen (nicht enhalten)
1,Lötzinn (nicht enthalten)
1,Dichtung (nicht enhalten)
