Anzahl,Beschreibung
,
1,Maßband
\SI{400}{\mm},Bewässerungsschlauch
3,4-Wege-Verteiler
\SI{100}{\mm},Schrumpfschlauch \SI{12}{\mm} mit Kleber
\SI{1}{\m},Schrumpfschlauch \SI{12}{\mm} ohne Kleber
\SI{300}{\mm},Gewindestange M3
1,Yagi-Platine
1,SMA-Buchse
