Anzahl,Beschreibung
,
1,ESP32
4,3D gedruckte Teile
2,\SI{12}{\mm} Alu Rohre (ca. \SI{15}{\cm} und ca. \SI{20}{\cm})
ca. \SI{0.5}{\m},WS2812 LED Streifen
6,Holz Teile
1,USB-A Kabel mit einem Offenen ende
1,\SI{11}{\mm} Drucktaster
1,\SI{5}{\mm} Kippschalter
ca. \SI{2}{\m}, Litze (verschiedene Farben)
etwas,Holzleim (Nicht enthalten)
etwas,Kleber (Nicht enthalten)
