images/schritt1,Check your parts.;A CR2032 battery is not included. You can get them online or at bigger electronic stores.
images/schritt2,Turn the PCB to the back-side.;Add solder to the long LED pad marked with a +.
images/schritt3,The long leg of the LED marks the positive side.;Bend the legs{,} so that the LED points onto the board and the legs are laying flat on the board.;Solder the positive leg (long) to the positive pad where you've added the solder before.;Ensure that the second leg also touches the other pad without solder.
images/schritt4,Solder the other leg of the LED (cathode{,} negative side) to the board.;Cut away the excess length of the legs.;Repeat these steps for the remaining three LEDs.
images/schritt5,The button works in both directions.;Add solder to one pad of the button.;Bend the legs of the button{,} so it can touch the surface of the board.;Heat up the pad with the solder again and push the button from the side onto the pad.;Make sure the other leg of the button touches the other pad.
images/schritt6,Solder the other leg of the button onto the board.
images/schritt7,The battery holder has one side marked with a cut edge. You can find the same missing edge also on the board.;Add solder to one of the pads meant for the battery holder.;Heat up the pad with the solder again and push the battery holder from the side onto the pad.;Make sure the other leg of the battery holder touches the other pad.;Solder the other leg onto the other pad on the board.
images/schritt8,Insert the battery as shown in the picture.;The receivers of the positive side need to touch the top of the battery. Slide it in from the left side and push down only the receivers on the left side.;You are finished! Press the button to toggle the LEDs on and off.
