Quantity,Description
,
12,RGB LEDs \SI{5}{\mm}
2,Ear studs
3,Large jump rings (\SI{8}{\mm} -- \SI{12}{\mm})
3,Small jump ring (4mm)
1,CR2032 Battery (not included)
