Anzahl,Beschreibung
,
12,RGB LEDs \SI{5}{\mm}
2,Ohrstecker
3,Biegeringe groß (\SI{8}{\mm} -- \SI{12}{\mm})
3,Biegering klein (4mm)
1,CR2032 Batterie (nicht enthalten)
