Quantity,Name,Description,Signing/Colorcode
4,,3mm RGB flashing LED,
1,,Wooden peg,
1,,CR2032 \SI{3}{\V} Battery,
3,,Wire (as long as the peg),
1,,Slide switch (3 pins)
