Quantity,Description
,
10,RGB LED \SI{5}{\mm} (fast-blinking)
10,RGB LED \SI{5}{\mm} (slow-blinking)
1,Push-button switch
1,SMD fuse
1,2xAA battery holder
3,AA rechargeable or disposable battery (not included)
1,Mushroom-head circuit board (PCB)
1,Battery circuit board (PCB)
1,Red hashtag circuit board (PCB)
1,Yellow hashtag circuit board (PCB)
