Anzahl,Beschreibung
,
10,RGB LED \SI{5}{\mm} (schnell leuchtend)
10,RGB LED \SI{5}{\mm} (langsam leuchtend)
1,Druckschalter
1,SMD Sicherung
1,2xAA Batterie Halter
3,AA Akku oder Batterie (nicht enthalten)
1,Platine Pilzkopf (PCB)
1,Platine Batterie (PCB)
1,Platine Hashtag rot (PCB)
1,Platine Hashtag gelb (PCB)
