Anzahl,Beschreibung
,
2,Taster
1,8x8 Dotmatrix
1,Kopfhöreranschluss
1,CR2032 Batterie Halter
1,CR2032 Batterie (nicht enthalten)
1,Vorbestückte Blinkenrocket Platine (PCB)
1,\SI{3.5}{\mm} Klinke auf \SI{3,5}{\mm} Adapter (optional)
1,\SI{3.5}{\mm} Klinke auf USBC (optional)
1,\SI{3.5}{\mm} Klinke auf Iphone (optional)
