Quantity,Description
,
2,Buttons
1,8x8 dot matrix
1,Headphone connection
1,CR2032 battery holder
1,CR2032 battery (not included)
1,Pre-assembled flashing rocket circuit board (PCB)
1,\SI{3.5}{\mm} jack to \SI{3.5}{\mm} adapter (optional)
1,\SI{3.5}{\mm} jack to USBC (optional)
1,\SI{3.5}{\mm} jack to Iphone (optional)
