Anzahl,Beschreibung
,
2,RGB LEDs \SI{5}{\mm}
1,Schalter
1,CR2032 Batterie Halter
1,CR2032 Batterie (nicht enthalten)
1,Sonnenbrillen Platine (PCB)
1,Alpaka Platine (PCB)
