images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger01,Überprüfe deine Bauteile.;Tipp: Die Widerstandsgröße kann über Farbkodierung ermittelt werden.;Ausrichtung bei Widerständen ist egal.;LEDs haben eine flache Seite und ein kürzeres Beinchen. Beides zeigt die negative Seite an.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger02,Löte die Widerstände R1 bis R7 auf. Die Widerstände haben verschiedene Widerstandswerte die durch Farbringe markiert sind. Achte darauf{,} dass du den richtigen Widerstand am richtigen Ort anlötest.; Schneide die überstehenden Drähte ab.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger03,Achtung: Q1-Q2 sind BC547 und Q3 sind BC557 Transistoren. Die Bezeichnung ist aufgedruckt.;Löte den Transistor BC557 bei Q3 ein.;Achtung ein Transistor hat eine flache Seite. Die flache Seite gehört an die gleiche stelle wie auch auf der Platine abgedruckt.;Du musst das mittlere Beinchen ein wenig nach hinten biegen um alle drei Beinchen in die Löcher zu bekommen.;Achte darauf{,} dass keine Lötbrücke entsteht.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger04,Löte die BC547 Transistoren Q1--Q2 ein. Achte wieder auf die richtige Richtung.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger05,Die Richtung des roten Keramik-Kondensators ist egal.;Löte nun die Kondensatoren C1 (100nF{,} 104) auf.;Schneide überstehende Drähte ab.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger06,LEDs haben eine Richtung. Das lange Beinchen ist die Anode (+). Auf der Platine ist die Anode durch ein rundes Löt-Pad gekennzeichnet.; Stecke die LED von vorne in die mit einem Kreis markierten Löcher. Achtung: Das lange Beinchen gehört in das Loch mit dem runden Pad!
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger07,Drehe die Platine um!; Achtung: Elekektrolytkondensatoren (größerer schwarzer Zylinder) haben eine Richtung! Das lange Beinchen ist die Anode (+). Auf der Platine ist die Anode durch ein Plus-Symbol (+) gekennzeichnet.;Stecke den Elektrolytkondensator VON HINTEN in die zwei Löcher an der unteren Ecke des Herzens. Das lange Beinchen muss durch das rechteckige Pad.;Achte darauf{,} dass zwischen schwarzem Zylinder und der Platine etwa \SI{10}{\mm} Draht stehen bleibt.;Wir müssen den Elektrolytkondensator später umbiegen.;Löte den Kondensator fest.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger08,Löte zuletzt den Batteriehalter auf. Dieser hat wieder eine Richtung. Die Umrisse sind auf der Platine abgedruckt. Achte darauf{,} dass der Umriss mit dem Batteriehalter übereinstimmt.; Tipp: Löte zunächst wieder nur ein Beinchen fest. Dadurch kannst du die Position wie üblich korrigieren.
images/Heartbeat-Herz-Loetbausatz-fuer-anfaenger09,Biege den Elektrolytkondensator so zur Seite{,} dass dieser flach auf der Platine neben dem Batteriehalter liegt.; Achtung: Die beiden Beinchen dürfen sich nicht berühren!;Lege anschließend eine CR2032 Batterie ein.;Du bist fertig! Das Herz pulsiert nun mehrere Wochen lang. Wenn du es ausschalten möchtest{,} kannst du einfach die Batterie entfernen.
