Anzahl,Beschreibung
,
4,RGB LEDs \SI{5}{\mm}
1,Schalter
1,CR2032 Batterie Halter
1,Kabel{,} starr
1,CR2032 Batterie (nicht enthalten)
1,Platine (PCB)
